employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-15290579,Benjamin,Bryant,Female,Georgia,Atlanta,2023-01-15,Operations,Logistics Coordinator,Bachelor,54290,Good,No,1992-02-11,2023-07-14
00-63478714,Raymond,Scott,Male,Florida,Miami,2020-10-12,Customer Service,Support Specialist,Bachelor,60709,Good,Yes,1973-01-23,2021-04-10
00-74976548,David,Sanchez,Male,North Carolina,Charlotte,2017-07-19,Operations,Logistics Coordinator,Bachelor,62323,Satisfactory,No,1994-06-29,2018-01-15
00-33586674,Caroline,Rubio,Male,North Carolina,Raleigh,2024-11-18,Customer Service,Help Desk Technician,High School,56866,Good,Yes,1992-12-05,2025-05-17
00-56343022,Edward,Wu,Male,North Carolina,Charlotte,2018-06-14,Sales,Sales Consultant,Master,87875,Satisfactory,No,1979-06-05,2022-06-17
00-99588723,Daniel,Morrison,Male,Georgia,Atlanta,2024-09-16,Finance,Financial Analyst,Master,86010,Satisfactory,No,1993-04-04,2025-03-15
00-44586127,Yvette,Curtis,Male,North Carolina,Charlotte,2023-04-11,Sales,Sales Specialist,PhD,58469,Good,No,1976-12-31,2023-10-27
00-35322102,Lisa,Jackson,Female,New York,Buffalo,2017-08-11,Operations,Logistics Coordinator,Bachelor,59708,Good,No,1971-11-30,2021-10-24
00-92273208,Jacob,Spence,Male,North Carolina,Raleigh,2023-10-07,Customer Service,Support Specialist,High School,63668,Good,No,1990-05-24,2024-11-22
00-43520917,Wendy,Hood,Male,Florida,Tampa,2021-05-05,Sales,Sales Representative,Bachelor,72538,Satisfactory,No,1984-07-01,2021-11-01
00-13036150,Karen,Wolfe,Female,North Carolina,Greensboro,2023-12-23,Finance,Financial Analyst,Master,92922,Good,No,1995-06-07,2024-06-20
00-90800015,Ann,Johnson,Male,Ohio,Cincinnati,2017-08-10,Operations,Logistics Coordinator,Bachelor,63327,Satisfactory,No,1992-09-05,2020-03-22
00-78141245,Katie,Young,Female,North Carolina,Raleigh,2024-09-30,Customer Service,Customer Service Manager,Bachelor,79451,Good,No,1971-09-09,2025-03-29
00-11125054,Carolyn,Bennett,Male,North Carolina,Raleigh,2016-01-10,Customer Service,Support Specialist,Bachelor,63228,Good,No,1975-11-23,2023-05-22
00-71117434,William,Frey,Female,North Carolina,Greensboro,2020-11-29,HR,Recruiter,High School,72057,Good,Yes,1971-12-16,2021-05-28
00-47503814,Alan,Johnson,Male,North Carolina,Charlotte,2022-12-14,Customer Service,Help Desk Technician,High School,60512,Satisfactory,No,1998-10-22,2023-06-12
00-15395547,John,Gibson,Male,North Carolina,Raleigh,2024-12-12,Operations,Logistics Coordinator,Bachelor,68239,Excellent,Yes,1990-11-08,2025-06-10
00-84324712,Elizabeth,Sawyer,Female,Texas,Houston,2023-10-11,Sales,Sales Representative,Bachelor,57913,Good,No,1993-06-27,2024-04-08
00-73853681,Alan,Kelley,Female,North Carolina,Charlotte,2017-01-16,Marketing,SEO Specialist,High School,68799,Satisfactory,Yes,1969-10-23,2017-07-15
00-87784989,Yvonne,Williams,Male,Georgia,Savannah,2017-11-13,Operations,Logistics Coordinator,Bachelor,60188,Satisfactory,No,1992-06-02,2021-08-09
00-16245522,Angela,Frost,Male,North Carolina,Charlotte,2022-04-24,Customer Service,Customer Service Representative,High School,58558,Good,No,1977-07-21,2022-10-21
00-36326572,Thomas,Strong,Female,North Carolina,Greensboro,2018-03-31,Sales,Sales Specialist,Bachelor,53646,Good,No,1991-08-20,2024-12-29
00-62919428,Bethany,Gonzalez,Female,California,Fresno,2017-12-29,Operations,Operations Analyst,Bachelor,55246,Needs Improvement,No,1985-07-26,2020-02-16
00-37628716,Vanessa,Williams,Male,Georgia,Atlanta,2021-03-22,IT,IT Support Specialist,Bachelor,67806,Good,No,1987-06-22,2021-09-18
00-64780812,Aaron,Gonzalez,Male,North Carolina,Charlotte,2017-08-01,Sales,Sales Specialist,PhD,57197,Satisfactory,Yes,1976-11-09,2019-11-08
00-68773607,James,Morton,Female,North Carolina,Raleigh,2018-03-13,IT,Software Developer,Bachelor,82888,Satisfactory,No,1998-02-11,2020-01-01
00-17385363,Teresa,Hopkins,Female,Florida,Miami,2024-09-16,Operations,Logistics Coordinator,Bachelor,54495,Good,No,1990-09-29,2025-03-15
00-17729985,Debra,Perez,Female,North Carolina,Greensboro,2020-06-07,Operations,Logistics Coordinator,Bachelor,56028,Satisfactory,No,1989-07-06,2021-04-29
00-63728668,Joseph,Steele,Male,North Carolina,Charlotte,2019-06-20,Sales,Sales Representative,Bachelor,64232,Satisfactory,No,2002-08-18,2022-02-09
00-18656963,Ryan,Mejia,Male,Texas,Dallas,2019-02-03,Operations,Logistics Coordinator,Bachelor,71872,Good,No,1976-05-11,2019-08-02
00-87264409,Rebecca,Brown,Male,Georgia,Athens,2018-01-12,Operations,Operations Analyst,Master,56298,Satisfactory,No,1988-04-24,2018-07-11
00-11447647,Jennifer,Brown,Female,Texas,Houston,2017-12-05,Operations,Logistics Coordinator,Bachelor,55496,Good,Yes,2000-01-25,2018-06-03
00-87009663,John,Ross,Male,North Carolina,Charlotte,2020-10-07,Customer Service,Support Specialist,Bachelor,65709,Good,No,1971-12-28,2021-04-05
00-42890992,Lynn,Chen,Female,North Carolina,Greensboro,2017-01-26,IT,System Administrator,Master,96123,Good,No,1968-08-10,2024-12-23
00-68424800,Shannon,Sanchez,Male,Georgia,Atlanta,2018-09-19,Operations,Logistics Coordinator,Bachelor,66945,Satisfactory,Yes,1996-05-20,2022-12-22
00-48056330,Barbara,Smith,Female,Georgia,Atlanta,2017-04-07,Sales,Sales Specialist,PhD,64238,Satisfactory,No,1989-04-30,2021-02-11
00-50612689,Stephanie,Collins,Female,Ohio,Cincinnati,2020-07-12,IT,Software Developer,Master,107464,Good,Yes,1986-09-18,2021-01-08
00-24216084,Kathleen,Pittman,Male,Texas,San Antonio,2018-08-16,Operations,Logistics Coordinator,Bachelor,70516,Good,No,1971-10-09,2022-04-18
00-91927129,Randy,Garcia,Female,North Carolina,Raleigh,2017-05-11,IT,IT Support Specialist,Bachelor,58759,Good,Yes,1983-02-04,2017-11-07
00-84473944,Justin,Day,Male,Georgia,Athens,2024-06-19,Operations,Inventory Specialist,High School,61750,Good,No,1998-03-30,2024-12-16
00-49787861,April,Bennett,Male,New York,New York City,2020-10-03,Operations,Logistics Coordinator,Bachelor,69827,Good,No,1992-09-01,2021-04-01
00-28730789,Justin,Jackson,Female,California,Los Angeles,2018-12-22,Operations,Inventory Specialist,High School,55185,Satisfactory,Yes,1993-08-08,2023-05-24
00-58779821,John,Hart,Male,North Carolina,Charlotte,2017-03-01,Marketing,SEO Specialist,Bachelor,90031,Satisfactory,Yes,1995-12-15,2017-08-28
00-41967948,Eric,Sanders,Female,North Carolina,Greensboro,2023-02-11,Customer Service,Customer Service Representative,High School,56765,Good,No,1971-08-25,2023-08-10
00-67088137,Tina,Bishop,Male,Georgia,Athens,2016-04-08,IT,IT Support Specialist,High School,56471,Satisfactory,No,1985-11-30,2024-11-12
00-19323688,Jason,Peters,Female,North Carolina,Charlotte,2019-07-13,IT,IT Support Specialist,Bachelor,57215,Needs Improvement,No,1985-06-16,2023-08-30
00-73187074,Nichole,Clay,Female,North Carolina,Greensboro,2022-01-25,IT,IT Support Specialist,High School,62844,Good,No,1986-11-04,2022-07-24
00-28109125,Shannon,Phillips,Male,Texas,Dallas,2019-06-03,Operations,Inventory Specialist,High School,59389,Good,No,1975-06-18,2019-11-30
00-58968813,Gregory,Floyd,Male,North Carolina,Raleigh,2022-06-10,Finance,Financial Analyst,Master,82955,Good,Yes,1968-05-14,2022-12-07
00-90441263,Paul,Flores,Male,California,San Francisco,2020-03-30,Operations,Logistics Coordinator,Bachelor,64483,Excellent,No,1978-10-27,2024-10-25
00-53385406,Steven,Hall,Female,North Carolina,Raleigh,2023-09-24,Sales,Sales Consultant,PhD,98316,Good,No,1969-07-29,2024-03-22
00-81934858,John,Martin,Female,North Carolina,Raleigh,2019-01-04,Finance,Financial Analyst,PhD,92271,Good,No,1965-09-07,2019-07-03
00-74802664,Ronald,Giles,Female,Texas,Houston,2017-05-22,Finance,Financial Analyst,Master,88394,Good,Yes,1960-12-11,2021-08-17
00-99177957,Kayla,Jones,Female,North Carolina,Greensboro,2022-08-29,Sales,Sales Representative,Bachelor,61847,Satisfactory,No,1992-07-14,2023-02-25
00-62441372,Melissa,Mercado,Male,Georgia,Athens,2024-10-21,Customer Service,Customer Service Representative,High School,64379,Satisfactory,No,1990-03-24,2025-04-19
00-28318094,Nicholas,Carter,Male,Ohio,Cincinnati,2016-07-15,Customer Service,Help Desk Technician,High School,65955,Needs Improvement,No,1982-02-28,2024-01-01
00-23675704,Bryan,Jackson,Male,North Carolina,Raleigh,2020-05-21,Customer Service,Support Specialist,Bachelor,66362,Satisfactory,No,1970-10-06,2020-11-17
00-67591642,Kayla,Black,Female,North Carolina,Greensboro,2023-08-21,Sales,Sales Representative,Bachelor,61793,Good,Yes,1975-03-08,2024-12-31
00-80281346,Catherine,Solomon,Male,California,Los Angeles,2024-09-05,Operations,Inventory Specialist,Bachelor,67749,Good,Yes,1984-10-10,2025-03-04
00-91488025,Marcus,Frost,Female,North Carolina,Charlotte,2022-04-20,IT,Software Developer,Master,106271,Good,No,1984-01-12,2022-10-17
00-50683673,John,Herrera,Female,North Carolina,Greensboro,2017-06-23,Finance,Accountant,Bachelor,54633,Satisfactory,No,1984-08-22,2024-05-15
00-43688510,David,Webb,Male,North Carolina,Charlotte,2017-08-21,Sales,Sales Representative,Bachelor,67619,Needs Improvement,No,1996-01-15,2018-02-17
00-88569996,Heather,Logan,Female,North Carolina,Charlotte,2022-10-15,Operations,Inventory Specialist,Bachelor,53949,Needs Improvement,No,1990-01-13,2023-11-14
00-24297938,Patrick,Lewis,Female,North Carolina,Greensboro,2016-12-16,Customer Service,Support Specialist,Bachelor,55021,Satisfactory,No,1988-10-13,2017-06-14
00-37523344,Margaret,Sheppard,Female,North Carolina,Charlotte,2024-09-15,Operations,Logistics Coordinator,Bachelor,56952,Good,No,1980-12-02,2025-03-14
00-75676073,Nicole,Taylor,Female,Ohio,Cincinnati,2018-06-23,HR,Recruiter,High School,70887,Good,No,2003-02-22,2023-12-27
00-85781398,Matthew,Garcia,Male,Texas,Dallas,2020-03-13,Sales,Sales Representative,Bachelor,65706,Satisfactory,Yes,1975-06-18,2020-09-09
00-44902992,Darren,Patterson,Male,North Carolina,Raleigh,2018-07-09,Marketing,Marketing Manager,Master,78987,Good,Yes,2002-05-25,2019-01-05
00-76722931,Benjamin,Mills,Male,North Carolina,Raleigh,2018-04-27,IT,IT Support Specialist,Bachelor,61708,Satisfactory,Yes,1981-11-12,2019-05-05
00-76787389,Christopher,Walls,Male,North Carolina,Raleigh,2022-11-29,Operations,Operations Analyst,Bachelor,66048,Good,No,1974-08-27,2023-05-28
00-35529768,Catherine,Murphy,Male,North Carolina,Greensboro,2017-08-20,Operations,Inventory Specialist,High School,68874,Satisfactory,Yes,1968-09-02,2018-03-08
00-22041907,Kevin,Jimenez,Male,Georgia,Savannah,2022-09-04,Marketing,Content Creator,High School,61323,Good,No,1985-10-30,2023-03-03
00-13853569,John,Hill,Male,North Carolina,Raleigh,2024-05-10,Operations,Inventory Specialist,Bachelor,62586,Good,Yes,1968-09-20,2024-11-06
00-55170728,Robin,Navarro,Female,North Carolina,Charlotte,2020-04-27,Customer Service,Customer Service Representative,Bachelor,61216,Satisfactory,No,1967-02-08,2021-06-02
00-27865067,Calvin,Rodriguez,Male,Texas,Dallas,2024-09-15,Customer Service,Help Desk Technician,High School,79960,Satisfactory,No,1985-12-18,2025-03-14
00-85632586,Tara,Randall,Female,North Carolina,Raleigh,2017-01-08,Customer Service,Support Specialist,Bachelor,62321,Good,No,1987-08-21,2018-01-05
00-81295861,Michelle,Molina,Male,North Carolina,Raleigh,2023-03-21,Customer Service,Customer Service Representative,High School,55544,Good,Yes,2003-05-05,2023-09-17
00-27866246,Tonya,Duncan,Male,Louisiana,Shreveport,2017-07-10,Finance,Accountant,Bachelor,93018,Good,No,1983-05-06,2018-07-21
00-43900146,Ryan,Dean,Female,North Carolina,Greensboro,2023-10-07,HR,Recruiter,Bachelor,66612,Good,Yes,1985-05-28,2024-04-04
00-57475964,Anne,Burton,Female,North Carolina,Greensboro,2017-08-20,IT,IT Support Specialist,Bachelor,58924,Good,Yes,1984-01-06,2018-02-16
00-67487980,Susan,Richardson,Male,North Carolina,Charlotte,2017-05-15,IT,System Administrator,Bachelor,99449,Good,No,1995-02-21,2021-06-19
00-50764371,George,Griffin,Male,North Carolina,Raleigh,2015-08-27,Finance,Accounts Payable Specialist,Bachelor,62429,Good,No,1998-07-05,2019-02-08
00-25856245,Chelsea,Jimenez,Female,Texas,Dallas,2022-06-10,Operations,Operations Analyst,Master,83576,Good,No,1974-12-01,2022-12-07
00-59504037,Jessica,Lee,Female,North Carolina,Raleigh,2022-01-02,Customer Service,Customer Service Representative,High School,56347,Good,No,1997-02-11,2022-07-01
00-32046460,Stephen,Davis,Male,Florida,Miami,2023-02-22,HR,Recruiter,High School,67717,Good,No,1972-02-28,2023-08-21
00-34690308,Cristina,Meza,Female,Texas,Houston,2023-11-30,Sales,Sales Specialist,Bachelor,62883,Satisfactory,No,1985-08-29,2024-05-28
00-13282858,Alice,Rogers,Male,North Carolina,Greensboro,2017-07-04,IT,Software Developer,Bachelor,85841,Good,No,2002-07-19,2021-08-29
00-13261774,Devon,Underwood,Female,North Carolina,Greensboro,2018-12-19,IT,Software Developer,Master,93342,Satisfactory,No,1974-05-08,2019-06-17
00-78327731,Cynthia,Wilkins,Female,North Carolina,Greensboro,2024-03-19,HR,HR Coordinator,Bachelor,68320,Good,No,1974-01-10,2024-09-15
00-31864455,Amy,Hurst,Male,Texas,Dallas,2017-10-14,HR,HR Coordinator,Master,58631,Good,No,1996-04-22,2021-07-05
00-14227848,Sandra,Raymond,Male,Georgia,Atlanta,2017-08-07,Operations,Inventory Specialist,High School,65585,Needs Improvement,Yes,1988-03-19,2021-08-30
00-32850822,Jorge,Decker,Male,North Carolina,Greensboro,2016-09-23,Operations,Logistics Coordinator,Bachelor,70224,Satisfactory,No,1978-09-20,2020-04-14
00-35917153,Jenna,Hodge,Female,North Carolina,Raleigh,2024-06-24,IT,Software Developer,Bachelor,79923,Good,No,1984-07-09,2024-12-21
00-65103170,Danny,Robinson,Female,North Carolina,Charlotte,2023-06-01,IT,System Administrator,Bachelor,72881,Good,No,1969-07-19,2023-11-28
00-79702700,Debra,King,Female,Ohio,Cleveland,2024-05-16,Operations,Inventory Specialist,High School,61152,Satisfactory,No,1980-01-08,2024-11-12
00-90804048,Luis,Gomez,Male,Georgia,Savannah,2023-01-06,Operations,Logistics Coordinator,Bachelor,65802,Satisfactory,No,1982-12-24,2023-07-05
00-92317852,Gina,Patterson,Female,North Carolina,Greensboro,2024-11-18,Sales,Sales Specialist,PhD,71905,Satisfactory,No,1984-11-16,2025-05-17
00-33323505,Kevin,Torres,Female,North Carolina,Greensboro,2020-02-08,Customer Service,Support Specialist,Bachelor,63448,Good,No,1975-01-30,2021-08-08
00-79630460,Jose,Dawson,Female,North Carolina,Raleigh,2016-10-12,Operations,Logistics Coordinator,Bachelor,51645,Good,No,2004-04-25,2024-04-15
00-28739714,Seth,Torres,Male,Georgia,Atlanta,2018-10-14,Operations,Logistics Coordinator,Bachelor,62103,Satisfactory,Yes,1976-11-19,2023-05-29
00-36573360,Jennifer,Donovan,Female,Georgia,Savannah,2016-03-04,Operations,Inventory Specialist,Bachelor,55495,Good,No,1997-05-03,2021-03-25
00-68869665,Linda,Sanchez,Male,California,Fresno,2019-03-13,Operations,Logistics Coordinator,Bachelor,64647,Good,No,1991-12-05,2019-09-09
00-52710564,Molly,Schneider,Male,North Carolina,Raleigh,2023-12-08,IT,IT Manager,PhD,113706,Good,Yes,1980-06-25,2024-10-20
00-61891475,Stephanie,Adams,Female,North Carolina,Charlotte,2024-06-11,Operations,Logistics Coordinator,Bachelor,66065,Good,Yes,1987-08-03,2024-12-08
00-68354841,Phillip,Johnson,Female,North Carolina,Greensboro,2022-01-11,Customer Service,Support Specialist,High School,57182,Excellent,No,1979-08-15,2022-07-10
00-41552604,John,Blankenship,Male,North Carolina,Charlotte,2016-01-03,HR,HR Coordinator,Bachelor,74594,Good,No,1972-08-25,2021-12-17
00-37381675,Lori,Cooper,Male,North Carolina,Greensboro,2023-02-19,Customer Service,Support Specialist,Bachelor,64982,Good,Yes,1972-12-24,2023-08-18
00-53985702,Scott,Johnson,Female,North Carolina,Greensboro,2023-11-16,Operations,Logistics Coordinator,Bachelor,62161,Excellent,No,1977-04-12,2024-05-14
00-10219656,Brendan,Jackson,Male,North Carolina,Greensboro,2024-10-24,IT,System Administrator,Master,86083,Good,Yes,1996-10-21,2025-04-22
00-81386364,Sharon,Morris,Female,North Carolina,Raleigh,2015-08-24,Operations,Inventory Specialist,Bachelor,62984,Good,No,1993-11-14,2021-06-04
00-31632497,Kimberly,Gray,Male,North Carolina,Raleigh,2021-11-15,Operations,Operations Analyst,Master,61656,Good,No,1990-06-08,2024-09-16
00-27186196,Tom,Juarez,Female,North Carolina,Charlotte,2020-03-18,Operations,Operations Analyst,Master,90491,Satisfactory,Yes,1972-06-20,2021-03-30
00-99348421,Brian,Guzman,Female,North Carolina,Greensboro,2020-12-11,IT,IT Support Specialist,Bachelor,61351,Good,No,1970-11-09,2023-07-14
00-43555732,Daniel,Waller,Female,Florida,Tampa,2023-08-27,Operations,Logistics Coordinator,Bachelor,64945,Good,No,1988-06-25,2024-02-23
00-97154219,Rebecca,Campbell,Male,North Carolina,Raleigh,2024-03-08,Sales,Sales Representative,Bachelor,65627,Needs Improvement,Yes,1984-11-20,2024-09-04
00-16655950,Courtney,Fleming,Male,Georgia,Atlanta,2020-07-20,Sales,Sales Representative,Bachelor,79259,Good,No,1986-04-07,2021-01-16
